N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"71,600","1,300",-1.78%,100,"4,274,364","5,969,783",52.10,"12,147,577",12.39,13.92,
2,LG에너지솔루션,"429,000","8,000",-1.83%,500,"1,003,860","234,000",3.57,"294,225",290.85,N/A,
3,SK하이닉스,"125,000","4,000",-3.10%,"5,000","910,003","728,002",50.89,"2,997,878",11.30,9.53,
4,삼성전자우,"65,700",400,-0.61%,100,"540,637","822,887",74.60,"794,098",11.37,N/A,
5,NAVER,"318,500","7,000",-2.15%,100,"522,496","164,049",55.02,"291,464",3.15,15.22,
6,삼성바이오로직스,"771,000","16,000",-2.03%,"2,500","510,132","66,165",10.47,"39,231",125.77,N/A,
7,카카오,"94,700","1,900",-1.97%,100,"422,326","445,962",28.30,"1,450,186",37.28,2.70,
8,LG화학,"537,000","21,000",-3.76%,"5,000","379,081","70,592",48.96,"271,975",13.99,2.93,
9,현대차,"172,500","5,000",-2.82%,"5,000","368,578","213,668",26.99,"721,078",8.74,2.04,
10,삼성SDI,"529,000","22,000",-3.99%,"5,000","363,764","68,765",44.21,"284,367",31.83,8.45,
11,기아,"73,200",600,-0.81%,"5,000","296,726","405,363",34.97,"938,022",6.63,5.05,
12,POSCO,"291,500","1,000",+0.34%,"5,000","254,150","87,187",53.06,"200,617",4.37,3.61,
13,KB금융,"57,600",800,-1.37%,"5,000","239,505","415,808",72.08,"1,120,267",5.51,8.53,
14,카카오뱅크,"48,700",100,+0.21%,"5,000","231,403","475,159",16.22,"1,872,395",157.61,5.08,
15,셀트리온,"167,500","3,500",-2.05%,"1,000","231,076","137,956",20.57,"490,108",42.62,16.68,
16,현대모비스,"225,500","1,500",-0.66%,"5,000","213,262","94,573",34.41,"91,607",9.08,4.66,
17,삼성물산,"111,000","2,000",-1.77%,100,"207,445","186,887",15.96,"143,059",12.63,3.81,
18,LG전자,"124,000","3,500",-2.75%,"5,000","202,923","163,648",28.57,"652,229",17.89,13.23,
19,신한지주,"38,150",400,-1.04%,"5,000","197,083","516,600",62.29,"792,963",5.06,8.20,
20,SK이노베이션,"212,000",500,-0.24%,"5,000","196,027","92,466",23.44,"291,798","-6,235.29",-13.58,
21,카카오페이,"143,000","4,000",-2.72%,500,"188,687","131,949",42.66,"162,564",-711.44,-17.97,
22,HMM,"35,650","4,650",+15.00%,"5,000","174,343","489,039",11.56,"52,915,128",4.49,8.93,
23,SK,"229,000","3,500",-1.51%,200,"169,802","74,149",21.78,"108,357",26.76,1.11,
24,한국전력,"24,050",50,-0.21%,"5,000","154,392","641,964",14.71,"1,993,522",-14.17,2.91,
25,LG생활건강,"951,000","8,000",-0.83%,"5,000","148,529","15,618",41.78,"28,475",19.95,16.65,
26,하나금융지주,"46,750",500,-1.06%,"5,000","140,363","300,242",71.33,"631,561",4.37,8.96,
27,크래프톤,"283,000","15,500",-5.19%,100,"138,874","49,072",29.67,"222,476",22.18,61.86,
28,두산중공업,"21,600",350,+1.65%,"5,000","130,702","605,103",8.73,"18,410,839",65.06,-37.20,
29,삼성전기,"165,000","5,500",-3.23%,"5,000","123,245","74,694",29.77,"523,903",14.35,14.29,
30,SK텔레콤,"56,200","1,300",+2.37%,100,"122,984","218,833",45.04,"934,543",8.72,6.44,
31,삼성생명,"60,700",600,-0.98%,500,"121,400","200,000",12.71,"122,756",7.76,3.53,
32,LG,"75,000",900,+1.21%,"5,000","117,976","157,301",36.30,"222,568",4.95,7.50,
33,하이브,"278,000",500,-0.18%,500,"114,962","41,353",15.10,"193,759",98.90,12.52,
34,SK바이오사이언스,"147,000","2,000",-1.34%,500,"112,455","76,500",5.49,"255,690",56.60,13.25,
35,KT&G,"80,800",400,+0.50%,"5,000","110,932","137,292",36.52,"257,829",9.32,13.22,
36,삼성에스디에스,"140,500","1,500",-1.06%,500,"108,716","77,378",11.47,"53,520",16.00,6.71,
37,아모레퍼시픽,"184,500","2,000",-1.07%,500,"107,919","58,493",30.20,"122,085",71.15,0.78,
